col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
9503,8742,5585,5091,1925,8452,9436,418,2798,1361
7717,5137,9798,7842,709,4944,3943,8923,7049,5015
9167,8402,8211,7909,4879,9780,3073,2201,4978,2276
3103,7774,6311,5321,5531,4091,5250,4851,759,7617
7417,8029,7353,1864,8698,6799,1412,7181,7071,4951
4468,5223,4600,9218,3543,7917,7026,4910,5286,2884
6863,5840,2094,3080,3610,4208,6285,8602,7419,1667
9063,6869,2539,5829,4165,4187,3175,7149,4341,5894
6330,9798,2158,1598,3563,6121,9415,9006,1238,9232
3098,3243,8007,4600,7773,4948,1875,7379,7867,4553
9971,9887,8817,2555,9279,4580,7329,7791,6189,6003
8398,9748,4813,2502,4412,6154,8250,6767,5032,7603
1011,8746,9230,1160,576,7046,5928,1714,2298,9006
1828,1501,7735,2561,3146,880,8138,7952,7443,3976
3404,3997,243,6291,7949,8130,8987,6441,7282,1180
4649,1230,8312,7890,260,5736,8240,7768,6571,8748
6804,8740,1738,8567,7160,1953,9486,378,6700,2600
454,3458,1008,5586,5332,2425,9985,7781,503,2874
3382,3220,4690,4649,4608,5739,8685,3203,2343,8064
1412,5513,4090,8490,687,9017,8548,5477,3989,5683
3967,9526,7252,9632,8246,3663,3285,1643,5579,9676
598,1081,8411,170,2284,4488,4615,2704,7821,6497
4975,3336,7309,6384,1666,3485,752,407,9604,1920
1139,1025,1887,3676,203,5030,6376,1457,6946,2810
9891,3554,9769,5906,228,8442,312,3322,7712,5050
5713,7585,3251,1569,7851,5810,2128,2120,6623,1456
6004,3426,5943,2193,2384,9940,1942,5818,6549,737
8019,1362,5394,6054,4887,923,4913,6969,4041,7822
8736,8843,8049,6375,6706,7649,9563,1441,6669,720
994,9507,2460,3002,5751,1991,317,691,6757,2779
8056,460,2999,8658,3397,4934,74,6296,8616,2924
2657,4535,5249,4259,7751,7438,569,1771,2073,5173
2644,6426,2436,9611,8071,7248,2505,1458,871,9869
2819,2968,6901,8257,7612,6125,3393,9759,5903,3065
1063,6271,311,8598,2694,7522,5774,8057,3734,330
3083,1462,4204,5541,688,2269,6559,8790,5775,7491
9283,1551,9820,5795,6389,7494,3211,4690,3858,9170
5464,1563,2655,8049,7225,7054,446,8983,520,2814
3616,3974,5309,3845,3850,1289,4015,6288,7015,6451
6146,7989,3141,5362,7512,927,5457,1774,9258,6102
3354,4107,3870,9553,5406,4114,8299,8860,5889,4253
3553,8695,6516,7537,9741,6451,1780,8754,6803,6793
2680,7229,1632,7250,9363,5322,5844,2581,5479,8698
8875,7164,1083,5574,7845,6059,7211,2490,1190,7262
3410,8861,6851,9416,1217,1614,7884,691,6517,4874
2433,1907,1383,5431,5877,5873,6558,7044,2385,4234
5807,1072,3138,1528,8423,2070,5098,1123,7654,9428
2899,7382,6604,1463,639,6460,8768,4814,3182,6221
2495,3421,3549,6844,7031,6662,8202,8857,2693,6093
100,8406,5241,2960,5678,4089,2569,5666,1231,8821
5121,9577,9342,4179,4088,975,8290,6951,3190,2519
6989,1246,1532,7695,938,3068,4157,7859,1920,1129
3191,1745,2006,7728,1998,1979,5428,9752,3027,7124
8022,1014,8854,9299,8493,7934,3994,5923,6838,4489
1357,4860,3457,6392,7091,459,5238,7583,7835,6996
8423,4456,7917,1941,4837,1701,3391,9412,5618,5926
2304,8104,7859,8256,3789,4409,9738,4439,2712,9790
4110,120,5666,2064,5183,7845,3895,1318,2396,3732
1759,668,3907,5281,3021,2375,6708,2249,2428,2714
3630,9329,6165,1072,257,4103,9930,7640,9273,7213
671,8862,9739,1716,2899,2157,6704,9074,1361,1247
1769,22,2821,2157,5449,1682,9700,6526,6482,8809
9697,1678,9886,881,6937,1865,1325,8470,9566,132
3951,8249,5886,7166,8581,9560,5514,1966,6075,9053
4525,7842,2584,4286,8121,3207,2171,9484,2234,3274
4653,7672,8869,6069,3404,5913,2818,6076,167,5423
4678,2351,84,4126,1540,9098,4214,6249,3502,8337
2653,1384,7451,1356,7646,6422,9216,6105,6023,6655
8244,8324,2198,2419,2140,5229,5503,4604,4390,8103
2478,4126,9954,3716,4585,941,8700,838,9534,5459
3906,6363,1501,159,6278,21,5987,7924,6791,1414
1818,8292,7883,5073,6803,6182,9198,9768,6077,9151
8726,7399,6704,7606,7597,3457,5430,2897,6278,1922
7656,7330,4251,3609,6926,7069,6308,2559,5625,5386
3850,2780,7647,3426,5667,2027,9134,5032,1669,7088
4437,2951,8923,7299,5669,9934,9639,7405,6856,6071
5122,2408,183,8278,8683,6946,3362,4337,1222,3526
7180,5984,2226,6859,3178,4323,8751,7843,2918,4805
2718,3802,7255,3813,5562,512,4468,3483,2242,4861
1483,4778,6096,4964,5596,8953,8492,6056,3757,2342
1086,2257,2592,7615,938,3151,3354,5628,4426,5126
6861,4834,4253,9924,6585,5094,4016,22,7037,3792
5344,3097,7987,602,4126,8648,1201,2482,2708,79
9562,5210,5664,1344,6154,1555,1593,6474,4658,3897
9748,3790,5329,3493,5405,7720,6200,2241,5344,1248
3575,4437,3099,7895,2585,5512,233,636,9201,966
5410,7760,9317,28,3715,7252,4586,1554,4591,4197
869,7657,1821,5064,5025,6252,9919,7509,3820,1319
8835,7751,8570,1941,910,1082,2673,4567,697,130
129,7236,7278,184,4981,8538,3562,3191,2196,4697
5210,559,7097,8425,3451,6629,7838,1918,6201,608
9333,7595,5708,9552,6674,4255,4668,3963,8216,743
6509,7549,8414,7113,8842,7349,8166,7239,8802,4557
7860,8639,9275,3781,1368,5090,8075,8720,7659,5384
9215,7923,4867,4611,1128,2607,911,1578,644,4735
6654,8706,4573,6388,4633,4052,748,5582,9490,1488
6338,8954,1160,5733,1582,7940,5553,5037,9427,2329
668,9435,135,328,3872,1958,7156,6587,6576,2562
3489,2409,1614,5073,5368,3135,4299,2663,4097,915
5270,2851,3529,7131,6758,7955,64,120,4112,1282
2597,628,3197,2510,390,4110,5461,338,5481,242
9224,852,973,1180,545,9171,8397,9831,5995,9049
7477,4179,8117,1332,5320,5443,3994,2318,7937,3024
3342,394,8233,9975,4130,6400,4676,2870,9168,6741
1684,2255,1461,8613,35,5581,8386,9074,2643,3276
7525,1338,9322,9878,5619,4922,1726,1259,8593,1672
2487,8,1660,4144,951,3810,514,2473,3912,6559
9757,6576,7057,4955,7754,9,3787,6124,2036,7996
8261,8501,1384,8627,6559,8565,5775,2213,1857,2703
4956,7763,4066,5300,7270,8451,648,7632,3495,741
2791,8681,8589,3433,4240,1340,5640,4495,544,3996
1947,5046,6328,3943,3338,8253,3201,3563,7645,7386
5049,396,1852,6172,3648,2302,2909,7750,644,9117
652,1061,9933,8532,7180,1619,9526,8873,5430,3472
697,4049,9669,3156,9070,1279,459,6819,5179,5569
6092,5993,638,4259,5792,1927,4029,1169,9297,5421
3927,625,3969,7166,7151,8303,1811,7110,1707,9043
9794,4866,2044,1060,8514,9079,7543,1599,8595,4197
43,8580,7947,6031,192,7392,2176,3529,9251,533
3286,2610,939,6833,7443,1216,9848,4876,1855,817
2965,3127,6367,7252,4923,4628,8831,5734,5052,8067
1519,4644,4655,2425,4329,9295,1289,1205,7157,7394
7222,4367,5660,4819,6474,4218,4688,2400,1572,1678
6037,1570,3145,7239,553,9899,9405,6287,5968,3087
8169,6484,9538,9,5660,7806,8217,4033,9271,2982
1276,7597,4589,8333,8388,6849,3360,5589,7727,4433
334,657,4515,1139,6137,1987,1852,5052,2043,6763
998,2071,6542,5851,9488,4840,4177,1926,4963,137
1930,2857,7285,4947,990,1108,5435,2045,3319,6907
9308,6934,2063,2111,3841,7304,6361,1115,3854,8192
5216,4538,6275,2284,7747,7229,4982,7963,384,6150
4660,5126,1388,700,5816,2690,3252,8990,582,3299
9970,152,7284,4840,8167,1759,4611,5626,2260,1444
1198,1735,1315,9016,6776,5691,8592,5461,5362,7811
5141,9638,2354,1494,3614,5557,6596,564,6447,7424
9300,3087,647,2877,2686,9294,7634,9335,3288,697
4237,877,1811,5581,3647,8610,7871,6174,4899,6033
5600,2188,3337,1243,6470,4103,9968,6039,7670,6049
6660,6551,434,3491,3243,6335,1150,1826,5895,6592
8095,7757,4027,8760,1513,3646,2892,8415,4783,8038
2729,9027,9239,8514,1334,9709,8986,8578,5626,4617
6128,1675,5173,5925,3096,544,5022,8176,1480,6592
1973,9980,8718,1477,3136,3874,4235,8873,3941,8252
8357,4858,6232,4034,7114,742,6924,2451,2002,1017
2927,910,9794,6854,5010,5509,3598,5790,2593,4993
3246,8004,3622,5878,4318,3045,8360,1662,5178,3924
3576,3309,6385,9963,6300,6706,952,524,8725,7661
5509,8646,3174,5455,6375,4556,9203,7947,371,5766
8100,967,947,4081,5621,1521,1634,7919,855,2335
5847,5718,2659,2412,1616,2017,9575,4992,3343,9117
8643,2192,5557,534,5078,6582,4778,6316,9893,9876
8745,4345,7410,2560,7907,1821,2077,8008,6192,2882
1361,3407,4016,9488,959,1086,2079,6480,8710,6673
5447,558,9201,1573,794,2893,9870,1781,4924,1835
3146,92,1471,5343,5692,5567,6591,614,5502,2002
1831,9724,8206,9771,1026,98,8034,3731,7559,8335
7513,7675,847,4352,8547,4334,1859,2947,7658,3873
2858,8192,7396,8116,4813,910,3847,4216,5103,5631
7740,5560,8911,6953,8455,7694,3907,2288,2338,6099
1874,3253,9896,6094,4496,7267,7827,4412,7920,5525
3106,5776,1102,9196,6881,4346,7884,988,4121,5061
4727,6983,2213,7676,6689,3763,6277,5425,5905,9181
2939,6325,1213,9612,7282,4947,376,6387,2663,1107
6200,958,5220,8955,2195,5987,2547,5918,685,4403
9951,4518,8878,3438,4097,8004,6363,3507,447,9492
8892,2659,7931,6159,182,831,9837,4463,827,5115
7729,2423,1360,8277,6387,5276,9857,1844,9839,1903
2455,5284,6631,4630,4022,9138,5291,4525,7012,1495
4762,5256,8001,2938,272,2691,5638,7021,2906,8761
3936,6774,2064,8964,7612,5784,1495,3969,9727,3359
8774,3160,7838,4732,4499,2648,6974,1746,7121,7628
3433,8422,229,9025,4701,6660,44,8390,6775,1705
2721,2269,999,5370,4298,5426,5172,3192,5914,1837
8670,1099,5731,1320,4402,3774,541,141,1508,5669
6215,9521,5734,2564,5138,4317,105,9806,7013,579
2078,4900,6266,5192,3750,6255,9163,5271,9453,4607
7112,1703,8713,1523,1240,29,7413,2057,9883,6750
9418,7013,5271,1406,304,7001,4570,633,2994,3370
9842,9332,2577,8924,4519,1658,4504,8660,8919,6149
5824,7430,1141,1064,2364,4992,7059,1062,9643,547
566,1790,9719,1364,8004,9497,3484,2148,4600,9913
6556,8652,5449,7226,4636,825,7219,818,4143,7091
2631,2894,8996,5954,9381,871,1481,6294,528,3679
2799,5211,4589,8822,218,7634,2118,4057,1167,4057
6829,7994,3675,5467,145,1718,7963,4764,7776,2376
8488,6005,916,2035,3833,8171,3192,9231,3325,5401
4393,4880,5086,4257,7307,724,3781,2269,6385,9303
5849,4702,180,1164,5790,8201,6138,9185,6422,4580
8314,6756,2529,2356,6561,7668,874,326,8567,2482
8884,5573,726,5165,9807,6027,169,4194,9853,1296
7072,8001,6646,7124,7974,1387,3998,6881,4291,7150
7722,1258,2734,5530,5838,2601,1116,5267,1644,3519
3339,6289,479,2852,9427,2396,5088,9934,3045,7174
577,7188,1375,7474,1379,5133,1550,3555,7283,5065
2920,9764,1616,2955,3861,8289,3655,9937,3070,4890
2798,1207,1380,5405,1534,3447,2584,4234,1267,5137
9189,1841,7277,2620,3859,2495,8276,7614,9492,4603
3835,3500,5298,1632,9922,6949,8580,1564,9546,9972
2291,7429,3048,3100,9379,5653,5656,7044,964,3376
2602,1957,2488,4864,1022,3653,4576,577,4727,7780
6319,3882,3036,5506,5040,6063,4314,8979,3656,9494
2279,486,9077,681,8600,3334,4151,9980,5647,4431
6907,3628,6467,4706,3405,2312,6973,1235,7267,8157
5586,2689,9011,6296,2854,1220,9203,9092,1203,8412
2716,5040,1932,5399,4608,3518,3560,9755,7290,9218
2937,776,7228,644,3174,6875,6128,2052,1503,8679
5645,9576,7677,2724,4554,5367,8842,2718,9783,1293
2746,4612,8149,8710,9914,1814,5088,1227,486,6116
4519,2886,1762,4430,3574,4749,9412,5400,1306,1795
2351,5403,1479,2627,4384,7547,3650,6238,1225,4269
7985,7138,6804,6515,6227,2119,7211,6766,4584,7030
2211,9976,8006,4042,2340,5576,7469,3471,4146,7892
4469,4413,9570,1378,721,2158,3941,2200,1324,9105
5207,6169,8053,8856,5871,4989,7271,7687,8985,8883
7951,3048,7839,1098,1449,7324,9017,6040,257,7922
2826,9495,9587,5209,6304,260,4997,9527,5815,7605
7911,575,6258,4784,1652,6869,8646,1761,4173,7020
6103,9165,1025,4935,2539,7621,3599,3153,3399,6448
3548,2737,2403,5246,4758,9819,7058,2384,9926,2789
6605,4984,9483,8435,2457,2907,8208,4007,5601,8881
6790,8878,854,4532,6439,8224,1509,714,4047,4245
1333,9436,4098,368,669,4550,5296,8106,4806,6645
2529,1930,5696,6227,7444,631,9787,8371,8854,3428
2289,8916,6235,4622,4088,5840,1508,2226,3417,3902
4222,4439,9258,4403,942,6812,9828,4547,9191,7384
199,7844,5692,4117,145,2832,3009,8990,6505,4508
182,353,5960,1183,8849,6570,7372,7364,3937,3796
5851,3915,2808,5249,9824,2634,4957,5466,490,504
5529,8157,9554,5703,6823,9459,8546,5267,6656,7456
9130,7471,7229,7401,9349,2588,8187,2012,8790,3229
5386,4479,5260,3115,1815,7383,3425,279,3173,8864
9060,2157,7497,4577,6401,6851,5766,2007,5490,1952
4909,3317,5331,8811,1032,8082,8136,2631,144,5979
8979,6531,4337,3012,3019,9290,3906,6899,9400,1286
1072,3136,4713,6901,4196,7339,6850,1861,2802,7798
1290,531,5462,9971,8008,3172,4721,5263,1519,5184
1772,6145,1825,6939,6834,1344,8462,5006,7088,1297
6783,1948,2226,1136,1747,6990,2802,154,4087,1461
5754,8113,6956,2082,9016,3805,2798,3244,2260,7154
1433,9840,4292,6133,6775,331,229,5586,1134,3887
5424,2038,3174,733,3491,3460,788,6668,3023,5956
1704,3545,9165,8504,707,3641,3750,2738,5880,1364
8814,9006,7716,9624,4514,4808,4537,6552,9717,7399
7850,7947,4281,7517,7787,244,5275,6816,2240,5247
5776,6590,3167,7318,2959,4722,9642,5357,1659,7737
7463,7860,5434,6089,8383,5625,8591,4378,220,4280
4430,5578,4471,5940,6520,568,7847,1654,2798,5238
8353,4610,9161,5225,9791,7918,6186,1412,5722,3894
2151,841,8376,8717,596,7189,3344,1731,7509,6635
7828,6799,6470,7383,3595,5482,5179,9867,2463,4065
2327,4412,7761,4109,6979,4032,6966,2349,5377,1877
4755,195,5736,5021,1154,5178,4188,1427,8805,8785
1468,4191,8885,6065,7044,1775,3156,5892,7970,9545
1776,287,3292,7788,1663,8592,274,2191,6308,7622
1628,3788,4457,4003,235,3087,8854,943,6907,3738
1485,6225,8904,8419,9559,8613,2135,511,3250,3926
2389,9551,9559,402,2272,2236,8629,3455,3833,9980
3998,4327,1322,3689,1302,2261,3853,1175,6938,6179
5969,5802,2394,428,596,9802,7630,9242,2664,541
9103,5709,9778,4195,3049,9603,2605,5009,4404,594
5392,6395,6467,3907,5301,3303,4853,6416,5990,5574
925,673,7503,9119,9820,6,9919,8062,7304,4655
3735,7871,2024,2398,3099,885,6775,5101,4986,7554
583,1595,4740,2595,1146,5057,5904,3488,7105,8187
4254,4189,7817,9458,105,131,9223,6407,683,5685
3358,7452,584,7938,2951,628,8928,3280,5417,5812
3216,3430,1731,8900,2157,6227,6681,2125,8698,1400
2951,6144,2007,1878,3282,4835,1936,8676,7494,2887
8431,1201,2541,2416,4859,4422,9543,4536,6569,9516
9340,6810,9053,7504,3120,2757,4835,719,9429,65
7774,3857,3670,4843,5292,5169,2009,6035,3191,1782
5623,6830,5501,7867,2394,1418,4796,9901,9912,3045
4375,2146,7605,4815,7322,6911,974,5199,2308,6864
6876,5498,2324,3513,7116,8515,4200,5679,9321,78
3078,4566,8699,8284,4058,1333,8310,1584,828,3886
9969,2222,4860,5634,3895,2754,3107,4896,927,567
7935,7600,2238,9059,1214,8627,2334,4996,1997,6928
6951,3832,9312,2102,8686,2697,8758,5291,1444,1604
6416,6551,9884,6309,8960,9440,392,1180,2147,9108
6797,2997,2679,900,7646,7744,5766,642,1058,5138
3109,6023,7837,2241,5201,1957,7482,4308,5455,1071
5390,4955,6002,3475,859,3454,5958,5464,5656,8486
5912,2089,5642,7192,2376,1105,9125,7515,4159,7849
4358,4405,277,2101,276,7229,9200,9601,8588,6907
4750,7993,8714,5255,3203,1582,4898,1591,3795,165
1961,2900,7000,6340,7787,3377,6319,8230,9727,6646
8703,1243,5528,7104,6826,1270,4210,5253,5321,5404
4359,3676,7576,5763,9577,6295,6862,4758,5449,4587
3574,8905,4602,9794,2208,6680,525,138,5595,2345
8331,4494,5157,8216,6182,6750,5358,6649,3305,76
46,2820,9211,3106,9065,9219,4749,7790,5796,838
9573,287,3223,2042,5554,868,763,6491,5061,3499
5373,9188,6136,4923,5380,3055,4197,1112,8744,6124
6686,7405,522,9043,5003,6317,3399,4091,2541,6224
3261,1378,8656,1150,9072,7424,7607,3727,4098,1994
1014,2744,1952,8304,3524,3996,669,1008,9396,9225
3608,5453,3378,5051,1263,1537,1160,2281,6447,2080
9853,6571,9559,9829,6670,7341,3386,516,1346,7936
9693,4461,772,1144,511,9237,5015,5826,9760,3893
9169,5392,7394,5278,359,2135,3235,2309,4542,7090
8668,1775,6773,4323,3078,260,4723,6304,7542,3847
9571,8785,5326,7425,8916,8799,2720,1966,9253,7338
7316,1295,8963,7627,2834,3313,3921,5121,3700,1035
7469,1671,433,5185,2369,1743,2857,8758,1188,5082
666,4878,7274,4563,8622,7863,8241,7685,6577,3803
2630,345,8794,3795,3772,8584,9323,4563,4262,2233
7139,1019,2258,1489,8697,1697,226,1643,3357,7813
3389,5170,4644,9502,4753,9336,9695,8738,6903,132
1487,489,9502,4149,4158,8602,3820,6418,3052,8741
8637,9003,1852,9288,1173,9555,1600,3187,655,5921
3428,4871,7136,8112,2639,7116,92,5603,5476,5003
7846,2265,1587,6036,5547,9316,5841,8741,1395,8005
861,7179,7312,2763,3488,8883,1460,631,4777,1587
6065,1493,4598,1579,3350,3046,7754,5528,4955,2378
6458,5575,9448,6165,7368,8877,4656,5394,5784,642
9436,6296,6603,985,2515,6749,7262,9762,6219,7708
8959,3101,17,4261,8339,2314,8074,5131,715,6247
4092,3268,9206,4778,1675,3319,8112,5839,9692,6672
1484,4186,3069,4047,5379,1394,651,6052,3392,3597
9695,3534,210,9787,3673,7265,9984,2078,7445,8331
9670,1231,8892,2707,4315,5870,8113,7641,3483,7117
379,6082,117,4697,3245,2997,2148,469,6006,8336
9594,23,3654,1897,9740,990,8779,8122,7844,2837
2981,3957,3571,2651,2500,2830,3166,8886,4608,1289
6282,7698,6335,5043,5088,4502,1982,8563,4880,9725
6418,6393,9589,8838,65,1629,3606,946,3534,8259
8454,3618,8373,8990,7237,5485,8065,7354,316,5426
1766,8453,567,9802,274,9356,817,5635,8923,185
7287,4483,7133,8470,4983,5050,2687,6612,4651,1287
8053,5852,3500,1106,2078,251,466,6860,5388,8115
9242,7817,9002,9964,3427,3364,5022,4369,6541,9820
8005,7904,7771,5748,6826,8981,959,7051,6070,7473
8483,9917,8907,516,4405,3552,163,6215,9828,5768
9766,9939,5999,2041,7102,230,1132,1566,2543,7285
9618,8829,6213,6153,7303,2656,9391,6208,1564,2835
6093,4762,2385,7020,6869,8859,6934,9182,4355,3618
7944,4913,5465,4604,3538,2512,5820,6047,4011,7131
1409,2462,4124,699,3973,4855,6780,158,1218,9348
4182,6866,2644,3727,620,97,8786,2776,2855,5676
6885,6984,5259,1354,9408,3988,88,4753,6686,2186
806,8556,1704,6668,9074,9344,8386,9225,9214,2490
8527,4784,214,882,240,3906,1556,5742,7286,847
50,7480,7339,4981,7379,745,5638,8462,8926,7711
5358,7139,4923,193,1791,6435,6077,1645,7718,6240
963,5852,3268,6346,839,8717,5485,939,839,6534
5125,5837,4694,8450,3272,2682,6356,2061,5137,3719
5214,1245,6284,8310,1038,2148,4207,691,4644,4252
9,9205,1876,2613,1647,9832,4366,4697,7530,5962
1266,8755,7904,1379,6768,1268,1501,3815,9307,2740
4146,4670,2514,6282,5888,8215,5975,2751,6659,145
4860,8935,875,7278,8434,5933,9561,6162,4347,8311
4426,7203,6737,8452,3614,7847,5811,6074,9518,2558
2614,2139,399,2231,9599,7948,4590,1452,8431,7171
9838,8204,9219,244,3792,7786,8595,7647,9806,6470
9706,8578,722,4848,1016,631,5997,2886,9240,1849
6702,9691,9399,6080,80,7907,4763,6726,9981,6258
2955,6138,3066,2014,4816,7881,9208,1736,9208,3323
2411,9419,5652,334,9145,1847,1358,3850,2969,7439
1373,2144,2637,1625,3418,7231,1638,4945,7751,946
6887,1136,7294,2390,8134,9579,7012,9122,5852,8491
4297,5808,5570,7620,9279,7438,4564,1809,6075,1084
1827,3408,4945,7545,2784,1647,4587,7628,4291,8457
7925,6653,4906,8790,6470,8620,2827,6791,7551,9625
6119,833,6985,5359,1258,9770,9467,2481,2563,3389
9365,2327,9436,2638,5027,9100,5737,6565,4733,9816
5675,4620,1992,1105,4750,4697,8751,4036,7523,5715
4641,6631,249,4965,8880,2487,3860,3003,7020,4673
3322,3540,6450,8116,1872,9045,7663,580,1937,9200
3711,3898,7506,2007,7584,3063,3615,3990,9346,4820
1272,309,1632,9560,1321,5154,5069,1876,6559,816
7992,1624,9287,2300,9422,4305,3168,1294,1798,2352
4896,2529,2196,1856,3127,8840,3441,8682,4560,632
8610,4132,2389,3145,321,1147,106,8337,1170,3318
9431,7219,2729,9719,4049,6572,705,2674,5224,6976
8256,3556,4765,1906,4246,6776,5526,6225,8187,4544
1252,947,1382,2120,993,8140,3916,9274,8069,1421
9176,4755,9580,5664,8107,561,1165,1917,1385,9202
4417,4777,8342,2772,3806,2190,5382,2887,2312,6545
9940,580,5554,1846,2463,2753,4493,3494,1608,4893
1079,7243,9334,1177,8302,8976,7104,178,5117,9438
3231,5536,3591,1166,7748,3186,8737,5790,4940,1451
3113,1873,1023,1396,2924,9524,6988,5743,2262,4855
1050,2996,3018,6651,1449,1716,8905,3178,8964,7856
8224,8841,1571,6827,8277,6252,3337,720,9377,4712
6807,2427,7388,6655,1217,6932,5982,1491,859,4244
9692,9605,8918,7971,6300,1378,1502,7281,6633,83
7980,2706,9415,6691,7906,6284,7981,1668,4404,8751
492,9236,3028,3361,5152,10,3091,2213,8720,5282
7724,3578,1028,2098,816,2242,1605,9027,1994,2836
7230,1573,9867,7892,801,6932,2721,9337,2603,737
2343,224,4844,7144,2951,9234,4443,2817,208,8059
